date,单位净值,基准
2016/7/20,1.654622,1.504487805
2016/7/21,1.662043,1.511419888
2016/7/22,1.647399,1.498705648
2016/7/25,1.650171,1.501365031
2016/7/26,1.673628,1.519350082
2016/7/27,1.645888,1.495490401
2016/7/28,1.655796,1.496834986
2016/7/29,1.650482,1.488839456
2016/8/1,1.63717,1.476236416
2016/8/2,1.643895,1.481926007
2016/8/3,1.647881,1.483995929
2016/8/4,1.654913,1.487611927
2016/8/5,1.65443,1.489387653
2016/8/8,1.671973,1.502897724
2016/8/9,1.685819,1.513491762
2016/8/10,1.677382,1.507153183
2016/8/11,1.669798,1.502515329
2016/8/12,1.699283,1.530802639
2016/8/15,1.746423,1.576895489
2016/8/16,1.740852,1.569842028
2016/8/17,1.737546,1.567426794
2016/8/18,1.731661,1.563447872
2016/8/19,1.728897,1.563696296
2016/8/22,1.718416,1.550580469
2016/8/23,1.722178,1.552920145
2016/8/24,1.717134,1.54735932
2016/8/25,1.707785,1.537651449
2016/8/26,1.708136,1.536776946
2016/8/29,1.70867,1.537098048
2016/8/30,1.708964,1.53905254
2016/8/31,1.716825,1.546397734
2016/9/1,1.702601,1.534214869
2016/9/2,1.70506,1.540040939
2016/9/5,1.709354,1.542627459
2016/9/6,1.723577,1.553290086
2016/9/7,1.723482,1.552449598
2016/9/8,1.725241,1.551867247
2016/9/9,1.712459,1.541867084
2016/9/12,1.683839,1.516104723
2016/9/13,1.682094,1.515049269
2016/9/14,1.671618,1.50501049
2016/9/19,1.685011,1.516346316
2016/9/20,1.683253,1.513687908
2016/9/21,1.687006,1.517978359
2016/9/22,1.703895,1.52935624
2016/9/23,1.695528,1.522174617
2016/9/26,1.666608,1.496438743
2016/9/27,1.676834,1.505951351
2016/9/28,1.673608,1.501367541
2016/9/29,1.682059,1.507639483
2016/9/30,1.688998,1.51177403
2016/10/10,1.706797,1.530633119
2016/10/11,1.711965,1.536529312
2016/10/12,1.709767,1.53348679
2016/10/13,1.7107,1.534711531
2016/10/14,1.712031,1.536199752
2016/10/17,1.699911,1.523202608
2016/10/18,1.72009,1.543395176
2016/10/19,1.715951,1.541029106
2016/10/20,1.718073,1.542127497
2016/10/21,1.721396,1.546372734
2016/10/24,1.739818,1.564885024
2016/10/25,1.743354,1.56482782
2016/10/26,1.737056,1.558947427
2016/10/27,1.730927,1.554716271
2016/10/28,1.726501,1.552128497
2016/10/31,1.725855,1.550340177
2016/11/1,1.738495,1.560922924
2016/11/2,1.723494,1.548980769
2016/11/3,1.73751,1.563726641
2016/11/4,1.732918,1.558656809
2016/11/7,1.735719,1.559779829
2016/11/8,1.743098,1.566529985
2016/11/9,1.736605,1.558136262
2016/11/10,1.755078,1.575588776
2016/11/11,1.762612,1.587953847
2016/11/14,1.765697,1.59400743
2016/11/15,1.767681,1.593831545
2016/11/16,1.766207,1.593702546
2016/11/17,1.768684,1.596928853
2016/11/18,1.761089,1.588062724
2016/11/21,1.770932,1.599055096
2016/11/22,1.785171,1.611719382
2016/11/23,1.789941,1.614677237
2016/11/24,1.797708,1.62118817
2016/11/25,1.814993,1.636317691
2016/11/28,1.823715,1.64272221
2016/11/29,1.834376,1.656179538
2016/11/30,1.818167,1.644079249
2016/12/1,1.831484,1.656642185
2016/12/2,1.813652,1.639875509
2016/12/5,1.785076,1.612204334
2016/12/6,1.782863,1.607439387
2016/12/7,1.792761,1.615150479
2016/12/8,1.789808,1.612546022
2016/12/9,1.802177,1.623493133
2016/12/12,1.760504,1.584216937
2016/12/13,1.756799,1.582291301
2016/12/14,1.745411,1.570167405
2016/12/15,1.725398,1.552271436
2016/12/16,1.730623,1.554872175
2016/12/19,1.724925,1.546950206
2016/12/20,1.71287,1.5376942
2016/12/21,1.727447,1.551389544
2016/12/22,1.725989,1.550058667
2016/12/23,1.712132,1.537013427
2016/12/26,1.721611,1.54389156
2016/12/27,1.722642,1.541096254
2016/12/28,1.71562,1.534359853
2016/12/29,1.715392,1.532443511
2016/12/30,1.725122,1.538166652
2017/1/3,1.738744,1.553104814
2017/1/4,1.753243,1.565226061
2017/1/5,1.752764,1.564983259
2017/1/6,1.74143,1.55563241
2017/1/9,1.748442,1.563176632
2017/1/10,1.745913,1.560560511
2017/1/11,1.733709,1.549511911
2017/1/12,1.725589,1.54167196
2017/1/13,1.726333,1.542735221
2017/1/16,1.725793,1.54251835
2017/1/17,1.731236,1.54572974
2017/1/18,1.740433,1.551774913
2017/1/19,1.735229,1.547092587
2017/1/20,1.749479,1.558988692
2017/1/23,1.754502,1.563259997
2017/1/24,1.756277,1.56343198
2017/1/25,1.761594,1.568754232
2017/1/26,1.76837,1.574356739
2017/2/3,1.755109,1.563451218
2017/2/6,1.761515,1.567499983
2017/2/7,1.759849,1.564005409
2017/2/8,1.766749,1.572185328
2017/2/9,1.774062,1.578228456
2017/2/10,1.783255,1.586218549
2017/2/13,1.796447,1.596808034
2017/2/14,1.795294,1.596589257
2017/2/15,1.787236,1.590041241
2017/2/16,1.796542,1.598972613
2017/2/17,1.785174,1.589915217
2017/2/20,1.814983,1.613126886
2017/2/21,1.820106,1.618438497
2017/2/22,1.82564,1.621660529
2017/2/23,1.81835,1.614024206
2017/2/24,1.817098,1.614269609
2017/2/27,1.801587,1.601430692
2017/2/28,1.806359,1.604491848
2017/3/1,1.809164,1.607106807
2017/3/2,1.797755,1.596260302
2017/3/3,1.7964,1.592898955
2017/3/6,1.805777,1.60155207
2017/3/7,1.811534,1.605024478
2017/3/8,1.807255,1.602596371
2017/3/9,1.795528,1.592471904
2017/3/10,1.798439,1.592912338
2017/3/13,1.816838,1.606948998
2017/3/14,1.816121,1.606296292
2017/3/15,1.821719,1.609525991
2017/3/16,1.829016,1.617826777
2017/3/17,1.812457,1.601236591
2017/3/20,1.815605,1.603005904
2017/3/21,1.828178,1.610782146
2017/3/22,1.822409,1.603209253
2017/3/23,1.829059,1.608752094
2017/3/24,1.843895,1.621587572
2017/3/27,1.836847,1.61621518
2017/3/28,1.83171,1.61239114
2017/3/29,1.82905,1.610246124
2017/3/30,1.813055,1.59703248
2017/3/31,1.82371,1.605995218
2017/4/5,1.846555,1.628229641
2017/4/6,1.854296,1.63294798
2017/4/7,1.858243,1.634535599
2017/4/10,1.855544,1.628808647
2017/4/11,1.858612,1.63447268
2017/4/12,1.854625,1.630806588
2017/4/13,1.86144,1.633189294
2017/4/14,1.845302,1.620149259
2017/4/17,1.841262,1.617099581
2017/4/18,1.83646,1.609107444
2017/4/19,1.83079,1.601269584
2017/4/20,1.840362,1.60855223
2017/4/21,1.841493,1.610986471
2017/4/24,1.824448,1.594477001
2017/4/25,1.832388,1.598991759
2017/4/26,1.839198,1.600947599
2017/4/27,1.838853,1.60166183
2017/4/28,1.833843,1.598424231
2017/5/2,1.829813,1.592301269
2017/5/3,1.823356,1.586051911
2017/5/4,1.820386,1.58198967
2017/5/5,1.80881,1.571842572
2017/5/8,1.791155,1.560811863
2017/5/9,1.790295,1.557893553
