order_book_id,datetime,last_quantity,side,last_price,transaction_cost
002506.XSHE,2020-08-18,72600.0,SELL,5.98,0
002507.XSHE,2020-08-18,5300.0,SELL,41.49,0
002511.XSHE,2020-08-18,2500.0,SELL,26.09,0
002544.XSHE,2020-08-18,10600.0,BUY,16.56,0
002557.XSHE,2020-08-18,2300.0,SELL,65.5,0
002563.XSHE,2020-08-18,400.0,SELL,7.42,0
002572.XSHE,2020-08-18,3400.0,SELL,24.67,0
002583.XSHE,2020-08-18,5000.0,SELL,9.18,0
002589.XSHE,2020-08-18,12600.0,SELL,6.2,0
002595.XSHE,2020-08-18,6000.0,BUY,20.8,0
002603.XSHE,2020-08-18,20000.0,BUY,29.75,0
002635.XSHE,2020-08-18,10700.0,BUY,24.46,0
002640.XSHE,2020-08-18,7100.0,SELL,8.05,0
002648.XSHE,2020-08-18,5900.0,SELL,20.05,0
002653.XSHE,2020-08-18,3300.0,SELL,27.5,0
002665.XSHE,2020-08-18,16200.0,SELL,2.7,0
002670.XSHE,2020-08-18,10400.0,SELL,10.66,0
002690.XSHE,2020-08-18,3500.0,BUY,58.29,0
002701.XSHE,2020-08-18,10700.0,SELL,5.42,0
002709.XSHE,2020-08-18,2800.0,BUY,41.02,0
002745.XSHE,2020-08-18,2600.0,SELL,16.47,0
002797.XSHE,2020-08-18,21500.0,SELL,11.4,0
002821.XSHE,2020-08-18,3800.0,SELL,239.54,0
002839.XSHE,2020-08-18,6100.0,SELL,6.74,0
002925.XSHE,2020-08-18,2900.0,SELL,56.8,0
002926.XSHE,2020-08-18,12500.0,SELL,13.45,0
300001.XSHE,2020-08-18,3800.0,SELL,20.34,0
300002.XSHE,2020-08-18,11800.0,SELL,6.42,0
300009.XSHE,2020-08-18,2800.0,SELL,17.77,0
300010.XSHE,2020-08-18,2900.0,SELL,19.51,0
300012.XSHE,2020-08-18,14800.0,SELL,25.54,0
300017.XSHE,2020-08-18,18200.0,SELL,9.0,0
